Central_x,Central_y,Oeste_x,Oeste_y,Este_x,Este_y,Sur_x,Sur_y,Norte_x,Norte_y
0.000000,0.000000,-4989.782597,-201.864357,4989.782597,201.864357,201.864357,-4989.782597,-201.864357,4989.782597
0.000000,0.000000,-4989.579214,-203.860265,4989.579214,203.860265,203.860265,-4989.579214,-203.860265,4989.579214
0.000000,0.000000,-4989.373826,-205.856091,4989.373826,205.856091,205.856091,-4989.373826,-205.856091,4989.373826
0.000000,0.000000,-4989.166431,-207.851836,4989.166431,207.851836,207.851836,-4989.166431,-207.851836,4989.166431
0.000000,0.000000,-4988.957030,-209.847496,4988.957030,209.847496,209.847496,-4988.957030,-209.847496,4988.957030
0.000000,0.000000,-4988.745623,-211.843073,4988.745623,211.843073,211.843073,-4988.745623,-211.843073,4988.745623
0.000000,0.000000,-4988.532210,-213.838565,4988.532210,213.838565,213.838565,-4988.532210,-213.838565,4988.532210
0.000000,0.000000,-4988.316791,-215.833972,4988.316791,215.833972,215.833972,-4988.316791,-215.833972,4988.316791
0.000000,0.000000,-4988.099365,-217.829292,4988.099365,217.829292,217.829292,-4988.099365,-217.829292,4988.099365
0.000000,0.000000,-4987.879933,-219.824525,4987.879933,219.824525,219.824525,-4987.879933,-219.824525,4987.879933
0.000000,0.000000,-4987.658494,-221.819670,4987.658494,221.819670,221.819670,-4987.658494,-221.819670,4987.658494
0.000000,0.000000,-4987.435048,-223.814726,4987.435048,223.814726,223.814726,-4987.435048,-223.814726,4987.435048
0.000000,0.000000,-4987.209596,-225.809692,4987.209596,225.809692,225.809692,-4987.209596,-225.809692,4987.209596
0.000000,0.000000,-4986.982137,-227.804568,4986.982137,227.804568,227.804568,-4986.982137,-227.804568,4986.982137
0.000000,0.000000,-4986.752671,-229.799353,4986.752671,229.799353,229.799353,-4986.752671,-229.799353,4986.752671
0.000000,0.000000,-4986.521199,-231.794045,4986.521199,231.794045,231.794045,-4986.521199,-231.794045,4986.521199
0.000000,0.000000,-4986.287719,-233.788645,4986.287719,233.788645,233.788645,-4986.287719,-233.788645,4986.287719
0.000000,0.000000,-4986.052232,-235.783151,4986.052232,235.783151,235.783151,-4986.052232,-235.783151,4986.052232
0.000000,0.000000,-4985.814739,-237.777562,4985.814739,237.777562,237.777562,-4985.814739,-237.777562,4985.814739
0.000000,0.000000,-4985.575238,-239.771878,4985.575238,239.771878,239.771878,-4985.575238,-239.771878,4985.575238
0.000000,0.000000,-4985.333729,-241.766098,4985.333729,241.766098,241.766098,-4985.333729,-241.766098,4985.333729
0.000000,0.000000,-4985.090214,-243.760221,4985.090214,243.760221,243.760221,-4985.090214,-243.760221,4985.090214
0.000000,0.000000,-4984.844690,-245.754247,4984.844690,245.754247,245.754247,-4984.844690,-245.754247,4984.844690
0.000000,0.000000,-4984.597160,-247.748173,4984.597160,247.748173,247.748173,-4984.597160,-247.748173,4984.597160
0.000000,0.000000,-4984.347622,-249.742001,4984.347622,249.742001,249.742001,-4984.347622,-249.742001,4984.347622
0.000000,0.000000,-4984.096076,-251.735728,4984.096076,251.735728,251.735728,-4984.096076,-251.735728,4984.096076
0.000000,0.000000,-4983.842522,-253.729354,4983.842522,253.729354,253.729354,-4983.842522,-253.729354,4983.842522
0.000000,0.000000,-4983.586961,-255.722878,4983.586961,255.722878,255.722878,-4983.586961,-255.722878,4983.586961
0.000000,0.000000,-4983.329391,-257.716300,4983.329391,257.716300,257.716300,-4983.329391,-257.716300,4983.329391
